0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
442,1053,461,511,559,35,1054,442,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,560,1,793,18,1803,561,1242,627,512,1804,97,3538,1,1805,1386,2,2,0,0,0,0,0,0,0,0,0,0
118,1,1243,1,53,1806,2649,118,30,513,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,10,98,514,16,628,172,589,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1,794,58,3539,92,1,336,2172,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,53,795,694,99,1594,1807,895,1132,2,2173,6,1133,1055,2174,1808,193,0,0,0,0,0,0,0,0,0,0,0
172,3540,301,1244,2650,12,841,2175,172,428,3541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,654,962,286,896,1809,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,1,533,1387,1245,134,1388,2,11,3542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,1,515,3543,695,287,1246,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,1,696,1389,1,1,2176,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,275,42,1,205,3544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,3,2651,205,897,1134,2652,897,1134,629,2653,386,898,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,3545,1,516,842,1247,843,242,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,337,371,2654,2655,2656,267,462,243,387,1,5,2657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3546,463,796,534,655,56,488,400,1135,1810,288,9,41,2,0,0,0,0,0,0,0,0,0,0,0,0,0
254,1,794,354,2177,2178,1,2658,899,1056,737,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,3,535,590,697,255,963,656,844,657,900,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,10,901,443,1811,1811,152,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,87,738,163,302,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,3,2179,2180,1595,2180,2659,517,231,842,6,45,462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,4,33,3547,2660,75,3548,444,140,536,3549,1596,1390,2181,3550,1,153,347,2,2,0,0,0,0,0,0,0,0
34,3,3551,3552,1,34,562,2661,2182,845,1,3553,2182,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,3,1597,3554,18,25,1057,45,2183,2184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,388,401,79,206,288,416,119,1,2185,2662,3555,2663,65,563,591,0,0,0,0,0,0,0,0,0,0,0,0
187,1812,1,65,187,964,1,65,2186,65,518,1391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,3,232,2664,2187,3556,311,194,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,3,176,739,312,176,698,141,154,312,1248,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,3,3557,1249,3558,34,402,2665,2666,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,3,1250,1813,30,6,93,79,45,360,289,49,22,474,1,173,1814,59,0,0,0,0,0,0,0,0,0,0
58,389,1815,188,1136,1058,592,58,1137,1059,2,2,630,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,3,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,3,845,429,3559,115,1816,1,6,564,519,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,3,53,88,31,66,206,631,2667,2182,1817,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,1,135,1251,902,244,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,1053,115,1,3560,2668,118,1,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,3,5,1252,3561,3562,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,4,33,3563,797,51,474,2669,3564,3565,1392,1393,740,361,22,362,1,153,2,2,0,0,0,0,0,0,0,0
47,565,105,1818,93,475,372,142,268,286,8,741,47,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,1,290,2670,2671,2672,67,373,2673,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,798,699,100,417,2188,2674,276,155,1394,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,3,29,1598,390,338,1253,120,1395,222,444,1060,106,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0
23,37,1,430,14,23,391,2189,742,51,428,2675,24,2,11,3566,0,0,0,0,0,0,0,0,0,0,0,0
172,1,964,489,314,2190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
